app_id,avg_m1,avg_m2,avg_m3,peak_m1,peak_m2,peak_m3,is_free,price_usd,age_months,age_since_release_months,genres,categories,pred_p10_players,pred_p50_players,pred_p90_players,row_error
236850,14847.26,13961.06,13392.86,24988.0,23449.0,21924.0,0,,5,,['Simulation' 'Strategy'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'
 'Cross-Platform Multiplayer' 'Steam Achievements' 'Steam Trading Cards'
 'Steam Workshop' 'Steam Cloud' 'Family Sharing']",11144.535129190555,14493.26173419951,17038.760627657688,
2820820,353.23,254.86,166.93,1060.0,629.0,369.0,0,14.99,5,,['Action' 'Indie' 'RPG'],['Single-player' 'Full controller support' 'Steam Cloud' 'Family Sharing'],132.420759852261,220.46259422764987,395.6936859565933,
2552430,975.35,825.57,990.7,1612.0,1691.0,1837.0,0,49.99,5,,['Action' 'Adventure' 'RPG'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Cloud' 'Family Sharing']",715.7595302705392,1055.9689689374961,1750.598379251347,
24810,428.33,405.65,395.68,724.0,646.0,665.0,0,,5,,['Action' 'Strategy'],"['Single-player' 'Multi-player' 'Steam Workshop' 'Steam Cloud'
 'Includes level editor' 'Family Sharing']",333.7730229735379,427.02580379087823,485.05036977347896,
2334730,1005.48,426.33,313.78,2482.0,933.0,530.0,0,6.99,5,,['Action' 'Casual' 'Indie' 'RPG' 'Early Access'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Cloud' 'Family Sharing']",237.22470625409304,322.9948612770761,592.1975046829401,
1669000,2385.67,1750.96,1917.46,4859.0,3211.0,3407.0,0,,5,,['RPG' 'Strategy'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'
 'Cross-Platform Multiplayer' 'Steam Achievements' 'Steam Workshop'
 'Camera Comfort' 'Chat Speech-to-text' 'Chat Text-to-speech'
 'Custom Volume Controls' 'Adjustable Difficulty'
 'Playable without Timed Input' 'Save Anytime' 'Stereo Sound'
 'Surround Sound' 'Partial Controller Support' 'Steam Cloud'
 'Remote Play Together' 'Family Sharing']",1250.7681095196815,2096.157467380795,2967.0237286191796,
363150,478.82,452.8,386.3,916.0,896.0,725.0,0,59.99,5,,['Simulation'],['Single-player' 'Steam Cloud' 'Family Sharing'],299.5345586809821,439.0964799159549,559.2869337188706,
2217000,481.27,410.12,552.62,951.0,1002.0,2264.0,0,29.99,5,,['Action' 'Indie'],"['Multi-player' 'PvP' 'Online PvP' 'Shared/Split Screen PvP'
 'Shared/Split Screen' 'Steam Achievements' 'Full controller support'
 'In-App Purchases' 'Remote Play Together' 'Family Sharing']",349.4109305547027,501.99399158823076,882.7919761053918,
204880,274.94,265.98,257.45,455.0,488.0,438.0,0,19.99,5,,['Action' 'Indie' 'Simulation' 'Strategy'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'LAN PvP' 'Co-op'
 'Online Co-op' 'LAN Co-op' 'Steam Achievements' 'Steam Trading Cards'
 'Custom Volume Controls' 'Adjustable Difficulty'
 'Playable without Timed Input' 'Save Anytime' 'Stereo Sound'
 'Surround Sound' 'Steam Cloud' 'Includes level editor' 'Family Sharing']",239.56535546048724,285.83041507401725,326.83848687445527,
362620,160.96,157.2,132.39,288.0,295.0,243.0,0,22.99,5,,['Indie' 'Simulation' 'Strategy' 'Early Access'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'LAN PvP' 'Co-op'
 'Online Co-op' 'LAN Co-op' 'Cross-Platform Multiplayer'
 'Steam Achievements' 'Steam Workshop' 'Adjustable Text Size'
 'Camera Comfort' 'Color Alternatives' 'Custom Volume Controls'
 'Adjustable Difficulty' 'Playable without Timed Input' 'Save Anytime'
 'Stereo Sound' 'Surround Sound' 'Steam Cloud' 'Family Sharing']",123.42732963504295,158.36054351856887,218.4472101744525,
55230,166.79,173.22,199.17,325.0,332.0,397.0,0,2.49,5,,['Action'],"['Single-player' 'Multi-player' 'Co-op' 'Steam Achievements'
 'Full controller support' 'Steam Trading Cards' 'Steam Cloud'
 'Remote Play on Phone' 'Remote Play on Tablet' 'Family Sharing']",164.53953864147573,227.11146248809675,287.3226755982025,
16900,451.4,339.72,309.65,1178.0,599.0,518.0,0,29.99,5,,['Action' 'Indie' 'Simulation' 'Early Access'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'
 'Steam Workshop' 'Partial Controller Support' 'Family Sharing']",238.03528142318194,316.31401930560764,475.11353484462927,
215080,255.95,202.67,198.67,496.0,407.0,464.0,1,,5,,"['Action' 'Adventure' 'Casual' 'Indie' 'Massively Multiplayer' 'RPG'
 'Strategy' 'Free To Play']","['Multi-player' 'MMO' 'Co-op' 'Online Co-op' 'Steam Achievements'
 'Steam Trading Cards' 'In-App Purchases']",164.81931544141315,222.66748581129787,332.02678805739214,
1296610,531.44,521.83,436.72,722.0,773.0,617.0,0,19.99,5,,['Casual' 'Indie' 'RPG' 'Strategy'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Trading Cards' 'Steam Cloud' 'Stats' 'Family Sharing']",306.9470227970316,440.93475441207426,628.4490798539177,
3097560,762.29,1103.34,2004.89,1447.0,5975.0,5969.0,0,6.99,5,,['Casual' 'Indie' 'Simulation' 'Strategy' 'Early Access'],['Multi-player' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op' 'Family Sharing'],655.2022594737801,1105.1042230516664,2669.6929739938155,
1929610,223.22,230.04,286.72,520.0,683.0,894.0,0,19.99,5,,['Action' 'Adventure' 'Indie'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Steam Achievements' 'Steam Cloud' 'Family Sharing']",205.6019879228126,308.60114097150523,478.14670085200686,
1796790,143.44,189.89,146.51,271.0,335.0,280.0,0,15.99,5,,['Adventure' 'RPG' 'Simulation' 'Early Access'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Cloud' 'Family Sharing']",135.65106048518047,172.97531366221983,234.37677710881374,
1815780,1183.96,1162.06,1181.91,1880.0,1832.0,1995.0,1,,5,,['Action' 'Adventure' 'Racing' 'Sports' 'Free To Play'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP'
 'Shared/Split Screen PvP' 'Co-op' 'Online Co-op' 'Shared/Split Screen'
 'Cross-Platform Multiplayer' 'Steam Achievements'
 'Full controller support' 'In-App Purchases' 'Remote Play Together']",967.0296541325114,1206.1584506030317,1463.1365616190596,
1105510,226.88,195.23,204.34,368.0,337.0,340.0,0,19.99,5,,['Action' 'Adventure'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Family Sharing']",176.16920251614562,226.8483769690217,330.02481027822665,
1750770,77.93,58.26,119.75,199.0,199.0,280.0,0,24.99,5,,['Action' 'Adventure' 'Indie' 'RPG'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Trading Cards' 'Steam Workshop' 'Adjustable Text Size'
 'Custom Volume Controls' 'Adjustable Difficulty'
 'Playable without Timed Input' 'Save Anytime' 'Stereo Sound'
 'Steam Cloud' 'Family Sharing']",57.68086955661941,141.6849658509659,278.39575312746126,
2950340,85.64,79.34,109.74,290.0,201.0,248.0,0,39.99,5,,['Action' 'Adventure' 'Casual'],"['Single-player' 'Multi-player' 'Co-op' 'Shared/Split Screen Co-op'
 'Shared/Split Screen' 'Steam Achievements' 'Full controller support'
 'Steam Cloud' 'Remote Play Together' 'Family Sharing']",93.74272463630504,148.16594791005457,264.32173355035366,
321960,253.28,259.93,253.71,516.0,550.0,480.0,0,7.49,5,,['RPG' 'Strategy'],['Single-player' 'Multi-player' 'Steam Achievements' 'Steam Trading Cards'],240.93648073455384,290.0182858240122,395.56821423436537,
459220,177.97,145.83,166.31,386.0,294.0,314.0,0,19.99,5,,['Strategy'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'
 'Steam Achievements' 'Full controller support' 'Steam Trading Cards'
 'Captions available' 'Steam Cloud' 'Steam Leaderboards'
 'Remote Play on TV' 'Family Sharing']",143.69729412131096,190.64517891434204,307.6559827070736,
1567020,50.88,48.38,49.04,161.0,134.0,132.0,0,39.99,5,,['Adventure'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Shared/Split Screen Co-op' 'Shared/Split Screen' 'Steam Achievements'
 'Full controller support' 'Steam Trading Cards' 'Remote Play Together'
 'Family Sharing']",47.85315366787652,69.44309987542682,282.64754860374086,
1067220,2.65,2.36,2.23,10.0,8.0,9.0,0,9.99,5,,['Indie' 'Simulation'],['Single-player' 'Steam Workshop' 'Steam Cloud' 'Family Sharing'],1.6862053070137524,2.774301316342787,13.35999057520067,
899770,18666.49,5170.04,2647.07,50570.0,14519.0,4912.0,0,34.99,5,,['Action' 'Adventure' 'Indie' 'RPG'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Full controller support' 'In-App Purchases' 'Adjustable Text Size'
 'Camera Comfort' 'Color Alternatives' 'Custom Volume Controls'
 'Stereo Sound' 'Steam Cloud']",951.3840192956569,1891.243492165941,4882.206170075161,
1328660,193.61,173.49,201.74,399.0,336.0,396.0,0,29.99,5,,['Action' 'Racing'],"['Single-player' 'Multi-player' 'Cross-Platform Multiplayer'
 'Steam Achievements' 'Full controller support' 'Steam Trading Cards']",171.2134518296685,227.19271942383995,314.5572596431966,
1625450,989.12,1033.94,984.88,1806.0,1675.0,1473.0,1,,5,,['Action' 'Adventure' 'Free To Play' 'Indie'],['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'],783.6189062190604,982.8293900404874,1222.9098876824632,
201230,143.07,149.71,158.62,247.0,270.0,289.0,1,,5,,['Massively Multiplayer' 'RPG' 'Free To Play'],['Multi-player' 'MMO'],147.88941772920535,181.5734893170972,217.7661786452405,
881100,2535.06,2500.89,2836.78,3852.0,4289.0,4386.0,0,19.99,5,,['Action' 'Adventure' 'Indie' 'RPG' 'Simulation'],"['Single-player' 'Steam Achievements' 'Steam Workshop'
 'Partial Controller Support' 'Steam Cloud' 'Family Sharing']",2230.4439787372326,2987.20414241604,4390.545855709534,
2294660,713.19,665.07,736.85,1539.0,1170.0,1283.0,0,9.99,5,,['Massively Multiplayer'],"['Multi-player' 'MMO' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'
 'Steam Achievements' 'In-App Purchases']",565.557242810171,780.3020058885717,1220.6109956073744,
1794680,3686.14,3276.65,3288.42,5923.0,5984.0,5155.0,0,4.99,5,,['Action' 'Casual' 'Indie' 'RPG'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Steam Achievements' 'Full controller support' 'Steam Trading Cards'
 'Steam Cloud' 'Remote Play Together' 'Family Sharing']",2556.7152656711582,3543.8804694417818,5087.625010044709,
1238000,412.55,338.92,355.22,879.0,688.0,697.0,0,,5,,['Action' 'RPG'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Steam Achievements' 'Full controller support' 'Steam Trading Cards']",256.50870809171164,406.39702225290245,624.0293860234882,
438040,1389.28,1379.67,1240.12,3121.0,2856.0,2605.0,1,,5,,"['Adventure' 'Casual' 'Indie' 'Massively Multiplayer' 'RPG' 'Strategy'
 'Free To Play']","['Single-player' 'Multi-player' 'MMO' 'Cross-Platform Multiplayer'
 'Steam Trading Cards' 'In-App Purchases' 'Camera Comfort'
 'Custom Volume Controls' 'Mouse Only Option']",896.3810379745421,1308.5124172953936,1853.3338972589388,
742420,99.63,138.69,139.41,207.0,320.0,283.0,0,4.49,5,,['Action' 'Adventure'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Cross-Platform Multiplayer' 'Steam Achievements'
 'Full controller support' 'Steam Cloud' 'Family Sharing']",135.2137503215404,164.3449117983005,295.15663465334535,
2524890,1430.09,1281.11,1237.85,2155.0,1934.0,1809.0,1,,5,,['Action' 'Adventure' 'Massively Multiplayer' 'Free To Play'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'
 'Cross-Platform Multiplayer' 'Full controller support' 'In-App Purchases']",927.7456241546274,1225.2446357982387,1648.3017309263405,
2139460,33834.18,26132.63,26591.04,58733.0,51589.0,46081.0,1,,5,,['Action' 'Adventure' 'RPG' 'Simulation' 'Strategy' 'Free To Play'],"['Multi-player' 'MMO' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'
 'Full controller support' 'Steam Trading Cards' 'In-App Purchases']",15934.711129276044,27110.198203542757,39253.40359809622,
1676840,772.09,554.86,857.65,2188.0,1506.0,2458.0,0,24.99,5,,['Adventure' 'Indie' 'RPG' 'Strategy'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Shared/Split Screen Co-op' 'Shared/Split Screen'
 'Cross-Platform Multiplayer' 'Steam Achievements'
 'Full controller support' 'Steam Trading Cards' 'Adjustable Text Size'
 'Camera Comfort' 'Custom Volume Controls' 'Adjustable Difficulty'
 'Keyboard Only Option' 'Mouse Only Option' 'Save Anytime' 'Steam Cloud'
 'Remote Play Together' 'Family Sharing']",584.4294408684758,965.1213112912623,1621.0833537487583,
839770,248.72,224.64,266.41,497.0,419.0,486.0,0,24.99,5,,['RPG' 'Strategy'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Trading Cards' 'Steam Workshop' 'Steam Cloud' 'Family Sharing']",201.5959327555488,288.07035710972445,404.9065953485898,
1578390,188.66,174.73,231.63,374.0,312.0,497.0,0,19.99,5,,['Indie' 'Racing' 'Simulation' 'Early Access'],['Single-player' 'Partial Controller Support' 'Family Sharing'],186.80265973293095,240.7098886940167,351.5591045572465,
476600,209.89,290.52,302.18,598.0,786.0,710.0,0,59.99,5,,['Action'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP'
 'Shared/Split Screen PvP' 'Co-op' 'Online Co-op'
 'Shared/Split Screen Co-op' 'Steam Achievements'
 'Full controller support' 'Steam Trading Cards' 'In-App Purchases'
 'Steam Cloud' 'Valve Anti-Cheat enabled' 'Remote Play on TV'
 'Family Sharing']",236.9526699584466,326.19168572706417,626.1183588765872,
3187030,516.88,624.22,716.49,975.0,1096.0,1141.0,1,,5,,['Free To Play'],[],512.3430741628243,690.8872155652364,1095.0547563978175,
787480,765.0,1097.92,1041.55,1795.0,2850.0,2228.0,0,29.99,5,,['Adventure'],"['Single-player' 'Steam Achievements' 'Steam Trading Cards'
 'Camera Comfort' 'Custom Volume Controls' 'Keyboard Only Option'
 'Mouse Only Option' 'Playable without Timed Input' 'Save Anytime'
 'Stereo Sound' 'Touch Only Option' 'Partial Controller Support'
 'Steam Cloud' 'Remote Play on Phone' 'Remote Play on Tablet'
 'Family Sharing']",772.7711263558234,1097.470112386436,1775.6928792004437,
6060,312.53,270.45,192.54,844.0,518.0,366.0,0,,5,,['Action'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Steam Cloud'
 'Family Sharing']",152.65087125739313,227.02396193493266,345.0951679029174,
1113120,231.09,173.39,216.75,507.0,404.0,495.0,0,,5,,['Indie' 'Simulation' 'Strategy'],['Single-player' 'Steam Achievements' 'Steam Cloud' 'Family Sharing'],179.49528085238273,248.32082633939604,431.62359901572836,
2977660,145.48,1147.44,411.44,1377.0,2021.0,708.0,1,,5,,['Action' 'Casual' 'Indie' 'Simulation' 'Free To Play'],['Single-player' 'Steam Achievements' 'In-App Purchases' 'Stats'],152.79548136115918,333.2973353580544,601.5588019677477,
2212330,578.96,520.41,703.26,1074.0,961.0,1327.0,0,4.99,5,,['Action' 'Indie' 'Simulation' 'Strategy'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'LAN PvP'
 'Family Sharing']",471.75747670798745,713.752686046471,1007.8335974454914,
1307890,251.32,250.69,229.55,470.0,528.0,465.0,0,19.99,5,,['Indie' 'Simulation' 'Strategy' 'Early Access'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'
 'Family Sharing']",204.68360188758749,261.25295555035717,360.39352893764755,
385770,145.8,146.31,164.83,200.0,232.0,234.0,1,,5,,['Action' 'Casual' 'Free To Play' 'Indie'],['Single-player' 'Steam Achievements'],151.46413707461582,177.6631566025378,258.76424980335634,
32440,279.26,289.5,314.83,537.0,672.0,671.0,0,19.99,5,,['Adventure'],"['Single-player' 'Multi-player' 'Shared/Split Screen'
 'Full controller support' 'Steam Cloud' 'Remote Play on Phone'
 'Remote Play on Tablet' 'Remote Play on TV' 'Remote Play Together'
 'Family Sharing']",249.53485821104115,338.1135962432972,526.4661085851932,
1583320,654.87,674.17,419.21,1988.0,1679.0,998.0,0,,5,,['Sports'],['Multi-player' 'PvP' 'Online PvP' 'Steam Achievements' 'In-App Purchases'],281.00109607891534,470.5582470840522,873.4011639969797,
1659420,557.69,559.38,966.07,1191.0,1957.0,2178.0,0,49.99,5,,['Adventure'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Custom Volume Controls' 'Adjustable Difficulty' 'Save Anytime'
 'Stereo Sound' 'Surround Sound' 'Steam Cloud' 'Remote Play on TV'
 'Family Sharing']",588.4402059164859,943.1364181304174,1359.1466209400671,
216150,8811.22,9990.52,9048.9,12756.0,16855.0,13021.0,1,,5,,"['Action' 'Adventure' 'Casual' 'Massively Multiplayer' 'RPG'
 'Free To Play']",['Single-player' 'Multi-player' 'MMO' 'Co-op' 'Steam Trading Cards'],7045.296862142727,8895.285364513196,12431.799476732678,
1509960,237.98,243.75,262.75,803.0,899.0,886.0,0,3.49,5,,['Action' 'Casual' 'Indie'],"['Multi-player' 'Co-op' 'Online Co-op' 'Shared/Split Screen Co-op'
 'Shared/Split Screen' 'Family Sharing']",231.74533473828924,296.4973953248562,457.54143982540273,
105600,25858.26,26254.06,30417.5,49056.0,46033.0,53239.0,0,9.99,5,,['Action' 'Adventure' 'Indie' 'RPG'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'
 'Steam Achievements' 'Full controller support' 'Steam Trading Cards'
 'Steam Cloud' 'Remote Play on Phone' 'Remote Play on Tablet'
 'Remote Play on TV' 'Family Sharing']",20384.581542383028,32391.199360900053,42419.08568466341,
40960,159.32,158.53,170.56,366.0,302.0,386.0,0,14.99,5,,['Simulation' 'Strategy'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Steam Achievements'
 'Steam Trading Cards' 'Steam Workshop' 'Steam Cloud' 'Family Sharing']",148.11745501095072,193.1576896072648,280.0104452883753,
34030,1059.68,1079.85,1076.58,1994.0,1853.0,1792.0,0,24.99,5,,['Strategy'],"['Single-player' 'Multi-player' 'Steam Achievements' 'Steam Trading Cards'
 'Camera Comfort' 'Custom Volume Controls' 'Adjustable Difficulty'
 'Playable without Timed Input' 'Save Anytime' 'Stereo Sound' 'Stats'
 'Family Sharing']",883.3867867456346,1128.1292405652714,1388.3495989386051,
645630,311.96,260.18,299.73,690.0,514.0,689.0,0,19.99,5,,['Racing' 'Simulation'],"['Single-player' 'Steam Achievements' 'Steam Trading Cards'
 'Steam Workshop' 'Partial Controller Support' 'Steam Cloud' 'Stats'
 'Includes level editor' 'Family Sharing']",221.92894981830997,333.14771077009823,515.7139755900185,
805550,2209.77,2305.38,2463.02,4981.0,5251.0,5233.0,0,39.99,5,,['Racing' 'Simulation' 'Sports'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'LAN PvP'
 'VR Supported' 'Partial Controller Support' 'Family Sharing']",2036.7286450410961,2728.7562265892284,4307.881639713903,
758870,57.86,52.98,61.41,128.0,103.0,135.0,0,24.99,5,,['Adventure' 'Indie' 'RPG' 'Simulation'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Cloud' 'Family Sharing']",55.962421235183086,77.71541833683258,346.5838402800461,
1284190,5875.04,6361.77,3895.99,19899.0,17345.0,8482.0,0,14.39,5,,['Adventure'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Steam Achievements' 'Full controller support' 'Family Sharing']",2518.994620246179,3844.2503944113078,7467.5231492107,
683830,6.11,19.3,3.33,241.0,455.0,22.0,0,6.99,5,,['Action' 'Casual' 'Indie'],['Single-player' 'Steam Trading Cards' 'Family Sharing'],1.6639828877541993,10.21855281147659,322.4160544025363,
1874170,60.28,47.42,42.87,126.0,91.0,86.0,0,29.99,5,,['Action' 'Simulation' 'Sports'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Cross-Platform Multiplayer' 'Steam Achievements'
 'Full controller support' 'Steam Cloud' 'Remote Play on TV'
 'Family Sharing']",41.84093649350685,59.56124405734352,335.0591459740304,
2989820,545.9,669.02,847.4,801.0,1011.0,1117.0,1,,5,,['Casual' 'Indie' 'Free To Play'],['Single-player' 'Steam Achievements' 'In-App Purchases' 'Steam Cloud'],531.3394615133933,787.2989309868304,1421.0446969881557,
207610,228.39,412.34,258.09,1142.0,1266.0,580.0,0,14.99,5,,['Adventure'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Trading Cards' 'Family Sharing']",216.9118233844786,279.1516541968754,392.4303223327676,
824270,1869.26,1845.72,1977.35,2730.0,2662.0,2886.0,0,9.99,5,,['Action' 'Indie' 'Simulation'],"['Single-player' 'Steam Achievements' 'Steam Workshop' 'Stats'
 'Steam Leaderboards' 'Includes level editor' 'Family Sharing']",1640.360588053436,2092.873382490531,3080.6482069413496,
1674170,259.92,250.63,210.59,468.0,430.0,316.0,0,19.99,5,,['Action' 'Indie' 'Simulation' 'Early Access'],['Single-player' 'Steam Cloud' 'Family Sharing'],172.8744172764435,230.03262287801573,300.936943177977,
1281590,67.2,69.39,72.87,204.0,235.0,197.0,0,29.99,5,,['Adventure'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Shared/Split Screen Co-op' 'Shared/Split Screen' 'Steam Achievements'
 'Full controller support' 'Steam Cloud' 'Remote Play Together'
 'Family Sharing']",68.6999658473683,100.76031171280917,231.12322713416492,
1196310,122.19,117.51,113.81,295.0,294.0,299.0,1,,5,,['Indie' 'RPG' 'Strategy' 'Free To Play'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op' 'LAN Co-op'
 'Shared/Split Screen Co-op' 'Shared/Split Screen'
 'Cross-Platform Multiplayer']",108.15306752287553,155.52093913790307,202.86910571684197,
1482520,2602.13,2623.63,2597.37,4214.0,4090.0,3885.0,0,,5,,[],[],2289.9350007664243,2706.739158999389,3334.1936273298847,
1105670,463.7,399.82,391.6,1186.0,928.0,750.0,0,24.99,5,,['Action' 'Indie' 'RPG' 'Strategy'],"['Single-player' 'Steam Achievements' 'Steam Trading Cards'
 'Adjustable Text Size' 'Camera Comfort' 'Custom Volume Controls'
 'Adjustable Difficulty' 'Partial Controller Support' 'Steam Cloud'
 'Family Sharing']",277.2152224267616,442.4658178848044,793.5214338622368,
